No,NIK,TTL,L/P,BB,TB,LP,TD,GDS,CL
1,3173011207850017,12/07/1985,L,74,176,86,130/84,98,192
2,3207012802980003,28/02/1998,P,46,160,62,108/68,78,162
3,3312010911750020,09/11/1975,L,88,170,98,148/94,172,255
4,3403011503900011,15/03/1990,P,58,155,74,122/78,92,188
5,3506012106680024,21/06/1968,L,72,168,88,155/98,200,248
6,3604010709950008,07/09/1995,P,52,162,66,114/72,84,172
7,5104011905800013,19/05/1980,L,80,180,90,138/86,112,205
8,5203010401700006,04/01/1970,P,65,152,84,150/95,168,235
9,5304012509880015,25/09/1988,L,66,172,78,125/80,95,185
10,6103011604720019,16/04/1972,P,55,150,82,158/100,210,258
11,6203010308850012,03/08/1985,L,78,178,88,135/85,108,200
12,6303012905980005,29/05/1998,P,48,158,65,112/70,82,170
13,6403011401750021,14/01/1975,L,95,175,102,152/96,188,272
14,7103012110900008,21/10/1990,P,54,164,70,118/76,90,180
15,7203010803680016,08/03/1968,L,68,162,86,155/100,205,250
16,7303011707820004,17/07/1982,P,60,156,78,132/86,120,215
17,8103012504950010,25/04/1995,L,72,174,82,128/80,95,188
18,9103011302680022,13/02/1968,P,52,148,78,158/102,218,262
19,3176011806920007,18/06/1992,L,80,178,90,135/85,105,200
20,3277010212800014,02/12/1980,P,66,158,80,140/88,142,225
21,3320012605700018,26/05/1970,L,85,172,96,148/92,165,242
22,3473011409980005,14/09/1998,P,50,164,64,110/70,80,168
23,3515011003780023,10/03/1978,L,76,168,88,142/90,138,218
24,3673012108900009,21/08/1990,P,56,156,72,120/78,92,185
25,5204010605620016,06/05/1962,L,60,160,80,160/102,222,258
