No,NIK,Nama,TTL,L/P,BB,TB,LP,TD,GDS,CL
1,3301012205900001,PUTRI RAHMAWATI,22/05/1990,P,54,155,70,115/73,88,
2,3301011408850002,RADEN MAS KARNO,14/08/1985,L,72,168,84,135/88,110,
3,3301013001920003,RINA WATI,30/01/1992,P,60,158,73,122/78,92,
4,3301010811800004,SUGIANTO WAHAB,08/11/1980,L,78,170,88,145/95,155,235
5,3301012504930005,TITIK SUHARTINI,25/04/1993,P,48,150,62,105/65,75,
6,3301011202880006,WAHYU HIDAYAT,12/02/1988,L,68,175,78,125/80,90,
7,3301010307900007,YANTI MULYANI,03/07/1990,P,56,156,70,118/76,85,
8,3301011912850008,ZAINAL ABIDIN,19/12/1985,L,82,165,95,152/98,175,
9,3301012806920009,ANISA RAHMA,28/06/1992,P,52,154,68,112/70,82,
10,3301010503870010,BAMBANG SETIAJI,05/03/1987,L,75,170,85,138/90,120,
11,3301011609950011,CITRA LESTARI,16/09/1995,P,46,148,60,108/68,78,
12,3301012201830012,DARMOKO PRASTOWO,22/01/1983,L,88,172,98,160/102,200,290
